,Champion,Bans,Games,Wins,Losses,Winrate,PB,By,Kills,Deaths,Assists,KDA,CS,CSPM,Gold,GPM,Kill Participation,Kill Share,Gold Share
0,Aatrox,45,31,17,14,54.8,98.7,17,2.1,2.48,4.42,2.62,285.19,9.03,12.31,390,52.1,16.8,21.6
1,Alistar,47,28,15,13,53.6,97.4,12,0.5,2.18,6.32,3.13,48.36,1.52,7.36,232,65,4.8,13.1
2,Urgot,45,28,13,15,46.4,94.8,17,2.64,2.64,3.75,2.42,265.96,8.21,12.14,375,63.5,26.2,21.7
3,Irelia,40,24,14,10,58.3,83.1,13,3.63,2.96,4.42,2.72,283.96,9.31,12.72,417,65,29.3,22.9
4,Xayah,28,34,17,17,50,80.5,15,3.74,1.79,4.59,4.63,345.74,10.27,15.01,446,67.9,30.5,25
5,Akali,51,11,8,3,72.7,80.5,8,4.55,2.27,4.55,4.00,323.45,8.69,14.6,392,61,30.5,21.8
6,Kai'Sa,19,43,21,22,48.8,80.5,15,3.88,1.84,4.09,4.34,324.49,10.17,13.94,437,72.4,35.2,24.8
7,Rakan,25,31,17,14,54.8,72.7,13,0.94,2.35,8.29,3.92,17,0.54,7.68,243,74.9,7.6,13.7
8,Nocturne,31,22,15,7,68.2,68.8,13,2,2.32,5.14,3.08,177.68,5.19,11.12,325,62.1,17.4,18.1
9,LeBlanc,34,17,12,5,70.6,66.2,10,4.18,2,4.71,4.44,285.29,8.43,13.55,400,61.9,29.1,21.3
10,Tahm Kench,34,16,7,9,43.8,64.9,10,0.5,2.25,5,2.44,67.06,1.97,8.24,242,60.7,5.5,13.7
11,Xin Zhao,19,25,14,11,56,57.1,12,2.72,2.36,5.64,3.54,151.68,4.83,10.42,332,65.9,21.5,18.5
12,Sion,15,29,13,16,44.8,57.1,15,0.9,2.03,5.76,3.27,244.31,7.54,10.81,334,59.6,8,19.4
13,Lissandra,21,22,7,15,31.8,55.8,10,2,2.77,5.09,2.56,271.36,8.81,11.48,373,66.4,18.7,21.7
14,Taliyah,25,17,10,7,58.8,54.5,10,3.18,1.88,5.47,4.59,182.47,5.61,11.31,348,77,28.3,19.8
15,Camille,25,17,8,9,47.1,54.5,9,2.41,2.88,4.29,2.33,214.76,6.81,11.58,367,64.8,23.3,20.4
16,Gragas,9,32,13,19,40.6,53.2,18,1.41,2.75,6.22,2.77,118.38,3.47,9.6,281,69.1,12.7,16.1
17,Syndra,21,19,9,10,47.4,51.9,12,2.68,2.16,5.11,3.61,312.95,9.15,13.16,385,72.5,25,22.2
18,Galio,17,21,10,11,47.6,49.4,10,2.24,2.14,4.71,3.24,273.14,8.68,11.68,371,66.4,21.4,21.2
19,Thresh,15,21,9,12,42.9,46.8,11,0.62,3.43,9.43,2.93,33.86,1.02,7.46,224,75.4,4.6,12.9
20,Ryze,17,17,8,9,47.1,44.2,13,2.35,1.88,4,3.38,306.94,9.89,12.52,404,59.3,22,22.9
21,Braum,6,24,13,11,54.2,39,9,0.38,2.04,7.54,3.88,59.5,1.91,7.73,248,71.7,3.4,13.8
22,Shen,12,16,9,7,56.3,36.4,9,1.31,2.13,6.38,3.62,160.88,4.99,9.95,308,65.4,11.2,17.4
23,Sivir,9,18,12,6,66.7,35.1,7,3.44,1.67,6.33,5.87,366.33,10.81,15.46,456,71,25,25.3
24,Olaf,11,16,7,9,43.8,35.1,13,3.38,1.81,4.94,4.59,172.56,5.04,11.34,331,68.9,28,18.6
25,Ornn,13,12,10,2,83.3,32.5,8,1.5,2.08,7.58,4.36,266.83,7.55,12.46,352,60.6,10,19.1
26,Lee Sin,7,17,9,8,52.9,31.2,7,2.71,2.06,5,3.74,151.71,4.96,10.2,333,69.3,24.3,18.8
27,Lucian,8,15,9,6,60,29.9,6,3.33,1.73,4.6,4.58,319.13,10.19,13.83,442,64.7,27.2,24.7
28,Kindred,17,6,2,4,33.3,29.9,4,1.33,3.33,5,1.90,176.67,5.48,10.58,328,69.1,14.5,19.2
29,Varus,11,11,5,6,45.5,28.6,8,2.91,2.27,3.82,2.96,283.82,9.45,12.35,411,67.9,29.4,23.5
30,Swain,8,11,5,6,45.5,24.7,6,3.45,2.55,3.45,2.71,251.18,8.3,11.62,384,69.1,34.5,22
31,Heimerdinger,13,2,2,0,100,19.5,1,2,0,5,14.00,355,10.25,15.4,445,73.7,21.1,23.2
32,Tristana,5,9,4,5,44.4,18.2,7,2.11,1,2.67,4.78,337.11,10.79,13.43,430,63.2,27.9,25.4
33,Leona,2,11,7,4,63.6,16.9,8,1,3,8.45,3.15,57.55,1.82,7.89,250,70.3,7.4,13.7
34,Jayce,8,5,3,2,60,16.9,5,3.2,3.2,4.2,2.31,317,9.33,14.2,418,60.7,26.2,22.6
35,Viktor,6,7,3,4,42.9,16.9,4,3,2.71,5.43,3.11,243.14,8.39,11.83,408,59.6,21.2,22.3
36,Poppy,3,8,2,6,25,14.3,7,1,2.5,3.75,1.90,218.13,6.09,11.2,313,55.9,11.8,18.7
37,Jhin,5,6,2,4,33.3,14.3,2,1.33,1.5,3.83,3.44,345.67,10.57,13.35,408,62,16,23.5
38,Skarner,8,3,0,3,0,14.3,3,1,3.33,6,2.10,174,4.88,10.63,298,75,10.7,17.8
39,Zilean,7,2,1,1,50,11.7,1,7.5,2,8,7.75,339.5,9.43,15.95,443,86.1,41.7,24.9
40,Ezreal,1,8,3,5,37.5,11.7,4,2.38,2.25,4.38,3.00,319.25,9.98,13.39,418,58.7,20.7,24.2
41,Draven,6,2,1,1,50,10.4,1,4.5,1.5,5.5,6.67,317.5,9.75,15.75,484,95.2,42.9,27.4
42,Azir,1,6,3,3,50,9.1,4,2.83,1.5,4.67,5.00,329.83,9.98,13.8,418,73.8,27.9,23.9
43,Vel'Koz,3,2,1,1,50,6.5,2,1.5,2,3.5,2.50,334,8.77,13.95,366,55.6,16.7,21.2
44,Ekko,1,4,1,3,25,6.5,2,3.75,4.5,2.75,1.44,293.75,8.57,13.18,385,66.7,38.5,22.6
45,Jax,2,2,1,1,50,5.2,2,1.5,2.5,5.5,2.80,247.5,8.33,11.6,390,58.3,12.5,21.4
46,Graves,0,4,1,3,25,5.2,3,3.25,1.75,2.25,3.14,175.75,6.02,10.28,352,88,52,21.3
47,Nautilus,1,2,1,1,50,3.9,2,0.5,5,8,1.70,90,2.11,10.15,237,63,3.7,13.9
48,Malzahar,2,1,0,1,0,3.9,1,0,3,4,1.33,321,9.21,12,344,66.7,0,21.4
49,Zac,2,1,1,0,100,3.9,1,0,0,10,10.00,138,4.95,9.1,326,76.9,0,17.1
50,Cho'Gath,0,3,1,2,33.3,3.9,3,2,2.33,3,2.14,262,7.48,11.53,329,55.6,22.2,19.9
51,Jarvan IV,0,3,1,2,33.3,3.9,3,2.33,3.67,8.33,2.91,164,4.85,11.2,332,94.1,20.6,18.8
52,Gangplank,1,2,1,1,50,3.9,2,2.5,1.5,7,6.33,306.5,9.43,15.7,483,52.8,13.9,25.8
53,Zoe,1,2,0,2,0,3.9,2,1.5,3,4.5,2.00,331,8.51,13.7,352,80,20,22
54,Yasuo,2,1,1,0,100,3.9,1,1,5,9,2.00,380,7.96,17.7,371,83.3,8.3,22
55,Cassiopeia,0,3,0,3,0,3.9,2,1.67,1.67,0.33,1.20,350.33,10.2,13.2,384,60,50,23.8
56,Darius,2,0,0,0,,2.6,0,,,,,,,,,,,
57,Fiora,0,2,0,2,0,2.6,1,3,1.5,1.5,3.00,361,10.34,15.3,438,52.9,35.3,25.2
58,Pyke,2,0,0,0,,2.6,0,,,,,,,,,,,
59,Kalista,0,2,1,1,50,2.6,2,2.5,2.5,6.5,3.60,268,9.45,11.2,395,64.3,17.9,22.7
60,Hecarim,1,1,1,0,100,2.6,1,5,2,3,4.00,342,9.37,16.2,444,61.5,38.5,22.9
61,Ashe,0,1,0,1,0,1.3,1,2,2,8,5.00,440,10,17.8,405,55.6,11.1,23.8
62,Mordekaiser,0,1,0,1,0,1.3,1,0,3,3,1.00,249,7.49,10.1,304,75,0,20
63,Lulu,0,1,0,1,0,1.3,1,0,0,5,5.00,332,9.36,12.7,358,100,0,21.3
64,Trundle,0,1,0,1,0,1.3,1,0,5,5,1.00,129,3.92,8.6,261,62.5,0,15.8
65,Evelynn,0,1,0,1,0,1.3,1,0,1,2,2.00,129,5.13,7,278,66.7,0,18.9
66,Bard,0,1,0,1,0,1.3,1,1,2,2,1.50,26,0.8,6.9,213,75,25,14.5
67,Singed,0,1,1,0,100,1.3,1,5,1,7,12.00,324,9.84,14.2,431,70.6,29.4,22.5
68,Brand,0,1,0,1,0,1.3,1,5,5,7,2.40,376,8.61,18.3,419,66.7,27.8,22.4
69,Nidalee,0,1,0,1,0,1.3,1,0,4,3,0.75,129,5.25,6.9,281,60,0,18.8
70,Nami,0,1,0,1,0,1.3,1,0,3,1,0.33,10,0.44,4.1,179,20,0,12
71,Kled,0,1,1,0,100,1.3,1,2,1,7,9.00,234,8.56,10.8,395,45,10,19.6
72,Kassadin,0,1,0,1,0,1.3,1,0,3,1,0.33,204,7.22,8.3,294,20,0,19.6
73,Elise,0,1,0,1,0,1.3,1,0,2,4,2.00,107,3.91,6.7,245,100,0,17.4
74,Ahri,0,1,1,0,100,1.3,1,3,3,7,3.33,267,8.97,12.4,417,71.4,21.4,21.2
75,Rek'Sai,0,1,1,0,100,1.3,1,10,3,8,6.00,210,6.01,15.4,441,66.7,37,21.2
